geneID	geneSymbol	bioType	annotationLevel	S-CTL-001	S-CTL-002	S-CTL-003	S-KD-001	S-KD-002	S-KD-003
ENSG00000002726.20	AOC1	protein_coding	2	1664	1585	1106	1049	989	814
ENSG00000002745.13	WNT16	protein_coding	2	4926	3436	2324	7816	5745	2531
ENSG00000002746.15	HECW1	protein_coding	1	5063	3736	4221	4719	3472	3113
ENSG00000002822.15	MAD1L1	protein_coding	1	1	1	0	33	32	21
ENSG00000002834.18	LASP1	protein_coding	1	2	5	2	0	0	0
ENSG00000002919.14	SNX11	protein_coding	2	0	0	0	0	0	0
ENSG00000002933.9	TMEM176A	protein_coding	2	0	0	0	0	0	0
ENSG00000003056.8	M6PR	protein_coding	1	2	0	2	1	0	0
ENSG00000003096.14	KLHL13	protein_coding	2	8663	7099	2987	2689	1991	1003
ENSG00000003137.8	CYP26B1	protein_coding	1	506.52	503.41	488.6	378.96	354.24	366.23
ENSG00000003147.19	ICA1	protein_coding	2	1777	1994	1810	1261	1447	1920
ENSG00000003249.13	DBNDD1	protein_coding	2	5611	4569	2617	5992	4925	1762
ENSG00000003393.15	ALS2	protein_coding	2	37	46	35	230	163	91
ENSG00000003400.14	CASP10	protein_coding	2	1180	952	728	319	315	216
ENSG00000003402.20	CFLAR	protein_coding	1	5525	4287	2726	0	2728	1438
ENSG00000003436.16	TFPI	protein_coding	2	0	0	0	0	0	0
ENSG00000003509.16	NDUFAF7	protein_coding	1	2756	1847	1731	1860	2039	994
ENSG00000003756.16	RBM5	protein_coding	1	6890	5402	4093	5344	4974	3391
ENSG00000003987.14	MTMR7	protein_coding	2	951	997	548	826	1209	591
ENSG00000003989.17	SLC7A2	protein_coding	2	22	17	13	23	46	23
ENSG00000004059.11	ARF5	protein_coding	2	3233	2895	2215	4251	2066	1532
ENSG00000004139.14	SARM1	protein_coding	1	0	0	0	0	0	0
ENSG00000004142.12	POLDIP2	protein_coding	2	0	0	0	0	0	0
ENSG00000004399.12	PLXND1	protein_coding	1	0	0	0	0	3	0
ENSG00000004455.16	AK2	protein_coding	1	0	0	0	0	0	0
ENSG00000004468.13	CD38	protein_coding	2	5272.96	4702	3002.93	3837	3756	2544
ENSG00000004478.8	FKBP4	protein_coding	2	6490	4746	3250	6313	5005	3722
ENSG00000004487.16	KDM1A	protein_coding	1	9404	8525	6070	10342	12048	11819
ENSG00000004534.15	RBM6	protein_coding	1	784	733	726	703	1036	912
ENSG00000004660.14	CAMKK1	protein_coding	2	1935	1101	1702	478	258	137
ENSG00000004700.16	RECQL	protein_coding	2	8	12	10	13	7	8
ENSG00000004766.17	VPS50	protein_coding	2	0	2	0	1	2	1
ENSG00000004776.13	HSPB6	protein_coding	2	8909	6559	6032	5920	7134	5252
ENSG00000004777.18	ARHGAP33	protein_coding	1	634	758	304	2209	2964	1504
ENSG00000004779.10	NDUFAB1	protein_coding	1	111	123	96	91	156	62
ENSG00000004799.8	PDK4	protein_coding	2	27826	23235	20857	23153	20118	25045
ENSG00000004809.14	SLC22A16	protein_coding	2	0	0	0	0	0	0
ENSG00000004838.14	ZMYND10	protein_coding	1	284	224	119	833	835	357
ENSG00000004846.16	ABCB5	protein_coding	1	299	335	180	1761	3281	1052
ENSG00000004848.8	ARX	protein_coding	2	16516.93	14507.93	14172.92	10038.96	9857.89	9137.97
ENSG00000004864.13	SLC25A13	protein_coding	2	0	0	0	14	189	99
ENSG00000004866.20	ST7	protein_coding	1	6	7	1	9	17	7
ENSG00000004897.12	CDC27	protein_coding	2	25276	20482	10002	13071	22620	4915
ENSG00000004939.15	SLC4A1	protein_coding	2	19	18	12	21	53	54
ENSG00000004948.15	CALCR	protein_coding	2	11	7	6	161	103	43
ENSG00000004961.15	HCCS	protein_coding	2	0	0	0	1	0	0
ENSG00000004975.12	DVL2	protein_coding	2	3	4	10	0	1	1
ENSG00000005001.10	PRSS22	protein_coding	1	0	0	0	0	0	2
ENSG00000005007.12	UPF1	protein_coding	2	0	0	0	1174	157	42
ENSG00000005020.13	SKAP2	protein_coding	2	0	0	0	0	0	1
ENSG00000005022.6	SLC25A5	protein_coding	2	0	1	0	1	0	0
ENSG00000005059.16	MCUB	protein_coding	2	269	247	226	167	209	147
ENSG00000005073.5	HOXA11	protein_coding	1	447	429	305	877	752	305
ENSG00000005075.15	POLR2J	protein_coding	2	1	0	1	28	292	137
ENSG00000005100.13	DHX33	protein_coding	1	2325	2077	1016	2027	1364	597
ENSG00000005102.13	MEOX1	protein_coding	2	9728	8270	6871	3679	4212	3264
ENSG00000005108.16	THSD7A	protein_coding	2	6	4	5	11	96	25
ENSG00000005156.11	LIG3	protein_coding	1	2429	2094	1587	3601	2801	1347
ENSG00000005175.10	RPAP3	protein_coding	2	6158	5825	4111	4942	3468	3059
ENSG00000005187.12	ACSM3	protein_coding	1	7	0	3.01	0	8	0
ENSG00000005189.19	REXO5	protein_coding	1	8949	7315	5237	5421	6252	3572
ENSG00000005194.15	CIAPIN1	protein_coding	1	0	0	0	0	0	0
ENSG00000005206.17	SPPL2B	protein_coding	2	5159	5786	2874	7526	7170	3701
ENSG00000005238.19	FAM214B	protein_coding	2	8	2	11	432	219	185
ENSG00000005243.10	COPZ2	protein_coding	2	3820	3461	2673	8170	6996	3456
ENSG00000005249.13	PRKAR2B	protein_coding	2	10496	7589	3677	3358	2389	1775
ENSG00000005302.18	MSL3	protein_coding	2	28	42	40	8	2	2
ENSG00000005339.14	CREBBP	protein_coding	1	2014	1806	1907	1435	1446	1381
ENSG00000005379.17	TSPOAP1	protein_coding	2	0	0	0	0	0	0
ENSG00000005381.7	MPO	protein_coding	2	1668	1580	1807	1752	1285	1283
ENSG00000005421.8	PON1	protein_coding	2	179	187	167	132	59	57
ENSG00000005436.13	GCFC2	protein_coding	1	1	0	0	0	1	0
ENSG00000005448.16	WDR54	protein_coding	1	201	361	167	1325	1308	495
ENSG00000005469.11	CROT	protein_coding	1	200	211	44	135	124	52
ENSG00000005471.17	ABCB4	protein_coding	2	5473	4602	2145	6081	5515	2087
ENSG00000005483.21	KMT2E	protein_coding	2	0	0	0	1	1	5
ENSG00000005486.17	RHBDD2	protein_coding	1	7029	7731	4000	3758	3575	2057
ENSG00000005513.10	SOX8	protein_coding	2	3130	2669	1846	2934	3195	1889
ENSG00000005700.15	IBTK	protein_coding	2	3949	2680	2283	2250	1699	1345
ENSG00000005801.18	ZNF195	protein_coding	1	4	7	10	7	30	10
ENSG00000005810.18	MYCBP2	protein_coding	2	0	0	0	0	0	0
ENSG00000005812.11	FBXL3	protein_coding	1	81	87	97	797	1119	538
ENSG00000005844.17	ITGAL	protein_coding	1	13	12	14	9	5	3
ENSG00000005882.11	PDK2	protein_coding	1	5860	3983	1993	3125	2304	1266
ENSG00000005884.18	ITGA3	protein_coding	2	0	0	0	0	0	0
ENSG00000005889.15	ZFX	protein_coding	2	6562	6916	4687.16	3602	4233	4165
ENSG00000005893.15	LAMP2	protein_coding	2	362	240	217	518	497	450
ENSG00000005961.18	ITGA2B	protein_coding	2	39	2	0	1	0	0
ENSG00000005981.13	ASB4	protein_coding	2	2060	1554	1062	3355	3177	1924
ENSG00000006007.12	GDE1	protein_coding	2	0	0	0	0	0	0
ENSG00000006015.17	REX1BD	protein_coding	1	0	0	0	0	0	0
ENSG00000006016.11	CRLF1	protein_coding	2	4337	2843	2395	4781	3328	1495
ENSG00000006025.12	AC003665.1	protein_coding	2	2205	1626	645	3221	2360	991
ENSG00000006042.12	TMEM98	protein_coding	2	491	75	261	123	63	36
ENSG00000006047.13	YBX2	protein_coding	2	6433.47	7223.41	5436.37	2782.87	3216.69	2115.37
ENSG00000006059.3	KRT33A	protein_coding	2	570.84	608.73	289	496.47	382	177.11
ENSG00000006062.17	MAP3K14	protein_coding	2	395	208	163	1443	2370	811
ENSG00000006071.14	ABCC8	protein_coding	2	10242	9323	5980	8284	6740	4102
ENSG00000006116.3	CACNG3	protein_coding	2	8	1	3	1	1	0
ENSG00000006118.14	TMEM132A	protein_coding	1	2268	1942	1845	1495	822	1058
ENSG00000006125.18	AP2B1	protein_coding	1	2699	2407	1107	2012	823	471
ENSG00000006128.12	TAC1	protein_coding	2	1466	1324	876	1535	717	313
ENSG00000006194.10	ZNF263	protein_coding	1	0	0	0	0	0	2
ENSG00000006210.7	CX3CL1	protein_coding	1	5108	1512	2338	538	608	598
ENSG00000006282.21	SPATA20	protein_coding	2	0	0	0	0	1	1
ENSG00000006283.18	CACNA1G	protein_coding	2	120	19	29	75	90	13
ENSG00000006327.13	TNFRSF12A	protein_coding	2	99	62	49	122	172	153
ENSG00000006377.11	DLX6	protein_coding	2	0	0	0	0	0	1
ENSG00000006432.15	MAP3K9	protein_coding	1	920	699	1021	3423	2050	994
ENSG00000006451.8	RALA	protein_coding	2	7772	5944	4224	7258	8387	3396
ENSG00000006453.14	BAIAP2L1	protein_coding	2	0	0	0	4	12	3
ENSG00000006459.11	KDM7A	protein_coding	2	13006	9777	7226	12841	8167	5892
ENSG00000006468.14	ETV1	protein_coding	1	851	596	271	971	1008	383
ENSG00000006530.18	AGK	protein_coding	2	2465	2410	1366	4069	1859	918
ENSG00000006534.16	ALDH3B1	protein_coding	2	0	1	0	0	0	0
ENSG00000006555.11	TTC22	protein_coding	1	0	0	0	1	0	0
ENSG00000006576.16	PHTF2	protein_coding	2	0	0	0	0	0	0
ENSG00000006606.8	CCL26	protein_coding	2	0	1	0	0	0	1
ENSG00000006607.14	FARP2	protein_coding	1	4363	4228	2469	2066	2951	1523
ENSG00000006611.16	USH1C	protein_coding	2	1262.87	1197.48	608	1226	1397	600.43
ENSG00000006625.18	GGCT	protein_coding	1	0	0	0	0	2	1
ENSG00000006634.8	DBF4	protein_coding	2	8227	5601	2993	3896	3347	2376
ENSG00000006638.11	TBXA2R	protein_coding	2	26	12	8	999	854	275
ENSG00000006652.14	IFRD1	protein_coding	1	0	0	1	0	0	0
ENSG00000006659.13	LGALS14	protein_coding	2	1571	1310	1195	999	1330	698
ENSG00000006695.12	COX10	protein_coding	2	10986	5624	3178	1359	623	256
ENSG00000006704.10	GTF2IRD1	protein_coding	1	16704	12853	17878	2964	4942	7224
ENSG00000006712.15	PAF1	protein_coding	2	8535	6930	7551	5231	7766	7864
ENSG00000006715.16	VPS41	protein_coding	1	967	1664	897	1148	904	521
ENSG00000006740.17	ARHGAP44	protein_coding	1	0	0	0	0	0	0
ENSG00000006744.19	ELAC2	protein_coding	1	695	575	376	683	827	432
ENSG00000006747.15	SCIN	protein_coding	1	2	1	5	13	5	6
ENSG00000006756.16	ARSD	protein_coding	1	3094	2628	1240	4144	4511	1767
ENSG00000006757.12	PNPLA4	protein_coding	2	4880	4481	4810	5307	3872	4772
ENSG00000006788.14	MYH13	protein_coding	2	8058	8148	5673	4437	6572	4423
ENSG00000006831.10	ADIPOR2	protein_coding	1	0	0	0	0	0	1
ENSG00000006837.12	CDKL3	protein_coding	1	3617	2308	2077	5280	5012	2587
ENSG00000007001.12	UPP2	protein_coding	2	2038	1400	1043	1283	1318	704
ENSG00000007038.11	PRSS21	protein_coding	2	4221	3325	2900	3157	2873	2504
ENSG00000007047.15	MARK4	protein_coding	2	520.53	391.79	350.14	1039.16	1358.15	900.76
ENSG00000007062.11	PROM1	protein_coding	1	31310	25079	21801	19093	15614	11119
ENSG00000007080.11	CCDC124	protein_coding	2	5469	4689	3119	5157	4974	2884
ENSG00000007129.18	CEACAM21	protein_coding	2	34857	31103	15927	26236	22611	17123
ENSG00000007168.13	PAFAH1B1	protein_coding	2	3368	3012.59	3332	3576	3001	2982
ENSG00000007171.17	NOS2	protein_coding	2	58157	34007	12596	6394	3391	2736
ENSG00000007174.18	DNAH9	protein_coding	1	0	0	0	2	0	0
ENSG00000007202.15	KIAA0100	protein_coding	1	3798	3342	1469	2797	2003	1176
ENSG00000007216.14	SLC13A2	protein_coding	2	8664	7699	4886	15634	18186	8552
ENSG00000007237.18	AC005747.1	protein_coding	2	767	2160	1056	6044	7808	3777
ENSG00000007255.10	TRAPPC6A	protein_coding	1	15.48	24	21	13	21.09	12.82
ENSG00000007264.15	MATK	protein_coding	1	25174.7	20419	18058.69	14434.16	16548.07	11805.25
ENSG00000007306.15	CEACAM7	protein_coding	2	3932	2347	2435	1400	1738	2267
ENSG00000007312.12	CD79B	protein_coding	2	53	65	19	42	20	12
ENSG00000007314.12	SCN4A	protein_coding	2	1	1	0	2	0	1
ENSG00000007341.19	ST7L	protein_coding	2	0	0	0	0	1	0
ENSG00000007350.17	TKTL1	protein_coding	1	6379	4953	3241	5705	5443	2080
ENSG00000007372.23	PAX6	protein_coding	1	13342	10344	6214	13854	9533	4685
ENSG00000007376.8	RPUSD1	protein_coding	2	175	167	239	95	146	231
ENSG00000007384.15	RHBDF1	protein_coding	1	0	0	0	0	0	0
ENSG00000007392.16	LUC7L	protein_coding	1	0	2	1	1	3	0
ENSG00000007402.11	CACNA2D2	protein_coding	2	1898.67	1857.7	1290.2	681.92	855.89	896.36
ENSG00000007516.13	BAIAP3	protein_coding	1	4933	4574	3463	4935	3529	2568
ENSG00000007520.4	TSR3	protein_coding	2	2380	2514	1623	3634	3474	2275
ENSG00000007541.16	PIGQ	protein_coding	2	6	4	4	55	9	4
ENSG00000007545.15	CRAMP1	protein_coding	2	71	219	74	6	3	1
ENSG00000007866.21	TEAD3	protein_coding	2	1999	1788	1276	2006	2596	1338
ENSG00000007908.16	SELE	protein_coding	1	0	0	0	0	0	0
ENSG00000007923.16	DNAJC11	protein_coding	2	0	0	1	2	2	2
ENSG00000007933.13	FMO3	protein_coding	2	0	0	0	0	1	2
ENSG00000007944.15	MYLIP	protein_coding	2	13931	9176	5990	8334	3696	2490
ENSG00000007952.18	NOX1	protein_coding	2	613	631	301	430	388	190
ENSG00000007968.7	E2F2	protein_coding	2	0	0	0	0	0	0
ENSG00000008018.9	PSMB1	protein_coding	2	62001	36056	40499	17878	26949	24928
ENSG00000008056.14	SYN1	protein_coding	2	0	0	0	0	0	0
ENSG00000008083.14	JARID2	protein_coding	2	11	14	27	6	0	0
ENSG00000008086.11	CDKL5	protein_coding	2	5558	3862	3358	10497	7399	4490
ENSG00000008118.10	CAMK1G	protein_coding	1	13	7	4	5	9	3
ENSG00000008128.23	CDK11A	protein_coding	2	0	0	0	0	1	4
ENSG00000008130.15	NADK	protein_coding	2	8017.36	10974.01	12666.63	15099.63	14430.81	33700.69
ENSG00000008196.13	TFAP2B	protein_coding	2	0	0	0	6	2	1
ENSG00000008197.4	TFAP2D	protein_coding	2	8	12	0	161	419	142
ENSG00000008226.19	DLEC1	protein_coding	2	163	116	92	47	4	1
ENSG00000008256.16	CYTH3	protein_coding	2	0	0	0	0	5	1
ENSG00000008277.14	ADAM22	protein_coding	1	248	93	99	394	659	806
ENSG00000008282.8	SYPL1	protein_coding	1	0	5	0	1	0	0
ENSG00000008283.16	CYB561	protein_coding	2	0	0	0	2	0	2
ENSG00000008294.21	SPAG9	protein_coding	1	20145	4203	1993	18	1	2
ENSG00000008300.17	CELSR3	protein_coding	2	11924	8622	7192	8041	9089	4817
ENSG00000008311.15	AASS	protein_coding	2	1351	1561	936	3596	3284	1530
ENSG00000008323.15	PLEKHG6	protein_coding	2	2152	1824	818	1985	1398	648
ENSG00000008324.11	SS18L2	protein_coding	2	475	60	156	148	287	76
ENSG00000008382.15	MPND	protein_coding	2	0	0	0	1	3	2
ENSG00000008394.13	MGST1	protein_coding	1	787	992	648	904	711	312
ENSG00000008405.12	CRY1	protein_coding	1	0	0	0	0	0	0
ENSG00000008438.5	PGLYRP1	protein_coding	2	7825	6621	4783.36	7407	8952	4076
ENSG00000008441.16	NFIX	protein_coding	1	2814	2005	1461	2702	2350	1172
ENSG00000008513.16	ST3GAL1	protein_coding	2	2717	1992	1151	2637	2424	1116
ENSG00000008516.17	MMP25	protein_coding	2	12200.25	11951.85	8119.16	6486.83	5639.33	5324.65
ENSG00000008517.16	IL32	protein_coding	2	12	23	23	0	0	0
ENSG00000008710.19	PKD1	protein_coding	1	20622	18821	17399	14792	19744	19692
ENSG00000008735.14	MAPK8IP2	protein_coding	2	4705	4011	1951	3577	3388	1659
ENSG00000008838.20	MED24	protein_coding	1	2361	2935	1872	1662	2090	1430
ENSG00000008853.16	RHOBTB2	protein_coding	1	118	87	137	177	517	171
ENSG00000008869.12	HEATR5B	protein_coding	1	0	0	0	0	1	0
ENSG00000008952.17	SEC62	protein_coding	1	866	665	391	1086	825	307
ENSG00000008988.9	RPS20	protein_coding	1	0	0	0	2	2	1
ENSG00000009307.16	CSDE1	protein_coding	1	8	1	0	4	19	12
ENSG00000009335.18	UBE3C	protein_coding	2	1.9	0	0	0	0	0
ENSG00000009413.15	REV3L	protein_coding	2	8680	5474	3672	6545	9094	3097
ENSG00000009694.13	TENM1	protein_coding	2	13579	21247	17488	30682	49854	29792
ENSG00000009709.12	PAX7	protein_coding	2	4	1	1	1385	3489	950
ENSG00000009724.16	MASP2	protein_coding	2	5862	5450	3584	2872	2589	1506
ENSG00000009765.14	IYD	protein_coding	2	10905	9463	4527	5918	4491	3061
ENSG00000009780.15	FAM76A	protein_coding	1	3207	3442	2134	5578	6488	1907
ENSG00000009790.15	TRAF3IP3	protein_coding	1	0	0	0	0	0	0
ENSG00000009830.11	POMT2	protein_coding	1	5	8	2	21	16	20
ENSG00000009844.16	VTA1	protein_coding	2	6088	4652	3020	12238	10919	4039
ENSG00000009950.16	MLXIPL	protein_coding	1	14538	12183	9717	9191	9368	8617
ENSG00000009954.11	BAZ1B	protein_coding	2	0	0	0	0	0	0
ENSG00000010017.13	RANBP9	protein_coding	2	25	6	7	25	8	9
ENSG00000010030.14	ETV7	protein_coding	2	199	276	215	541	474	305
ENSG00000010072.16	SPRTN	protein_coding	2	48669	14264	4420	371	399	194
ENSG00000010165.20	EEF1AKNMT	protein_coding	2	22.11	12.46	22.93	19.07	6.52	6.95
ENSG00000010219.13	DYRK4	protein_coding	2	5783	4862	2261	3039	2463	981
ENSG00000010244.18	ZNF207	protein_coding	1	7073	5412	3994	5346	5701	4300
ENSG00000010256.11	UQCRC1	protein_coding	2	0	0	0	0	1	0
ENSG00000010270.13	STARD3NL	protein_coding	2	0	1.21	1.24	1.26	6.25	2.49
ENSG00000010278.14	CD9	protein_coding	1	0	0	0	14	1	0
ENSG00000010282.14	HHATL	protein_coding	1	0	0	0	0	0	0
ENSG00000010292.13	NCAPD2	protein_coding	1	0	0	0	6	1	2
ENSG00000010295.19	IFFO1	protein_coding	2	0	0	0	0	0	0
ENSG00000010310.9	GIPR	protein_coding	1	159	150	157	337	315	150
ENSG00000010318.21	PHF7	protein_coding	1	2060	1497	991	228	92	67
ENSG00000010319.6	SEMA3G	protein_coding	2	728	661	662	640	595	655
ENSG00000010322.16	NISCH	protein_coding	2	3160	2873	2850	2786	2812	1625
ENSG00000010327.10	STAB1	protein_coding	2	1344.23	576	545.87	462	540	342
ENSG00000010361.13	FUZ	protein_coding	1	71	184	197	524	1471	1969
ENSG00000010379.16	SLC6A13	protein_coding	2	70951	51256	38775	69878	46059	19622
ENSG00000010404.18	IDS	protein_coding	2	3523	2281	2640	1387	920	363
ENSG00000010438.16	PRSS3	protein_coding	2	622.74	622.74	1015.38	1470.68	1569.04	553.9
ENSG00000010539.11	ZNF200	protein_coding	2	5067	4030	2471	1956	2128	1249
ENSG00000010610.10	CD4	protein_coding	1	1381	957	959	1784	923	711
ENSG00000010626.15	LRRC23	protein_coding	1	6	0	0	1078	162	101
ENSG00000010671.15	BTK	protein_coding	2	2869.93	2782.35	1786.53	2887.57	2295.14	1888.36
ENSG00000010704.18	HFE	protein_coding	1	28	766	122	88	153	68
ENSG00000010803.16	SCMH1	protein_coding	2	4382	6765	4732	4883	4724	2418
ENSG00000010810.17	FYN	protein_coding	2	0	0	0	0	0	0
ENSG00000010818.10	HIVEP2	protein_coding	2	8488	6243	5263	4322	3622	3421
ENSG00000010932.17	FMO1	protein_coding	2	74167	80760	62824	58132	60594	53406
ENSG00000011007.12	ELOA	protein_coding	2	3628	3299	2102	3463	2821	2170
ENSG00000011009.11	LYPLA2	protein_coding	2	1292	1153	715	1088	760	336
ENSG00000011021.23	CLCN6	protein_coding	2	2069	1442	1869	1452	1525	1328
ENSG00000011028.14	AC080038.1	protein_coding	2	6728	5993	3698	8661	8546	4220
ENSG00000011052.21	NME1-NME2	protein_coding	2	7087	5244	4389	6042	6153	4447
ENSG00000011083.9	SLC6A7	protein_coding	1	274	205	93	90	61	40
ENSG00000011105.14	TSPAN9	protein_coding	2	2893	2015	1109	3124	1692	1132
ENSG00000011114.15	BTBD7	protein_coding	2	1295	1170	597	1813	1914	554
ENSG00000011132.12	AC005954.1	protein_coding	2	9386	5194	2749	5020	3869	1657
ENSG00000011143.16	MKS1	protein_coding	1	8318	6136	5627	6076	7376	6618
ENSG00000011198.9	ABHD5	protein_coding	1	276.81	132.02	106.84	52.37	90.6	24.78
ENSG00000011201.12	ANOS1	protein_coding	2	4053	5873	3026	15502	10826	3675
ENSG00000011243.18	AKAP8L	protein_coding	1	3634	2756	2512	3479	2927	1903
ENSG00000011258.16	MBTD1	protein_coding	1	4990	3977	2570	6178	5594	3427
ENSG00000011260.14	UTP18	protein_coding	2	242	206	187	233	197	172
ENSG00000011275.18	RNF216	protein_coding	2	137	29	50	120	88	31
ENSG00000011295.16	TTC19	protein_coding	1	9	8	12	164	578	465
ENSG00000011304.20	PTBP1	protein_coding	2	17	11	1	338	615	206
ENSG00000011332.19	DPF1	protein_coding	1	0	0	0	0	0	0
ENSG00000011347.9	SYT7	protein_coding	1	1877	1374	1563	1321	1235	966
ENSG00000011376.12	LARS2	protein_coding	2	81	242	107.71	1468.67	1296	449.16
ENSG00000011405.13	PIK3C2A	protein_coding	2	241	452	339	528	60	110
ENSG00000011422.12	PLAUR	protein_coding	1	5496	4159	2199	3742	2661	1155
ENSG00000011426.11	ANLN	protein_coding	1	7299	7185	4599	3919	4697	2387
ENSG00000011451.19	WIZ	protein_coding	1	1611	2062	1287	3522	3056	1683
ENSG00000011454.17	RABGAP1	protein_coding	1	0	0	0	0	0	0
ENSG00000011465.17	DCN	protein_coding	1	2692	1816	1444	4408	2779	1943
ENSG00000011478.12	QPCTL	protein_coding	2	0	0	0	0	0	0
ENSG00000011485.14	PPP5C	protein_coding	1	1807	1050	714	620	430	335
ENSG00000011523.14	CEP68	protein_coding	1	5410	5246	2783	6422	6574	3824
ENSG00000011566.15	MAP4K3	protein_coding	2	3956.8	3177.78	1968.67	6467.97	4654.61	2310.8
ENSG00000011590.14	ZBTB32	protein_coding	1	208	170	233	307	140	133
ENSG00000011600.11	TYROBP	protein_coding	2	1.57	11.32	1.7	46.01	4.46	7.38
ENSG00000011638.10	TMEM159	protein_coding	1	3486	2885	1937	3165	2669	2041
ENSG00000011677.13	GABRA3	protein_coding	2	1777	1835	795	1626	901	481
ENSG00000012048.22	BRCA1	protein_coding	2	1	0	1	3	4	2
ENSG00000012061.15	ERCC1	protein_coding	1	1	0	3	1	0	1
ENSG00000012124.17	CD22	protein_coding	1	1360	1189	1181	1394	1405	1406
ENSG00000012171.19	SEMA3B	protein_coding	2	5477	4340	2888.63	4012.74	3649.3	1871.37
ENSG00000012174.12	MBTPS2	protein_coding	2	0	0	0	0	0	0
ENSG00000012211.13	PRICKLE3	protein_coding	2	0	0	0	0	0	2
ENSG00000012223.12	LTF	protein_coding	1	236	81	82	351	356	128
ENSG00000012232.8	EXTL3	protein_coding	1	2508	2256	1215	2412	2224	898
ENSG00000012504.15	NR1H4	protein_coding	1	3612	1917	1079	1775	1466	1267
ENSG00000012660.14	ELOVL5	protein_coding	2	14531	12174	14649	6896	5695	4562
ENSG00000012779.11	ALOX5	protein_coding	2	0	0	0	0	0	0
ENSG00000012817.15	KDM5D	protein_coding	2	10	4	10	40	112	52
ENSG00000012822.16	CALCOCO1	protein_coding	1	38	42	56	43	117	46
ENSG00000012963.15	UBR7	protein_coding	2	7	6	8	82	63	72
ENSG00000012983.11	MAP4K5	protein_coding	2	0	0	0	0	0	0
ENSG00000013016.16	EHD3	protein_coding	2	105	218	592	394	1117	404
ENSG00000013275.7	PSMC4	protein_coding	2	136	149	241	166	298	142
ENSG00000013288.8	MAN2B2	protein_coding	2	0	4	5	85	22	9
ENSG00000013293.6	SLC7A14	protein_coding	1	1678	1465	806	1189	1066	819
ENSG00000013297.11	CLDN11	protein_coding	1	16861	18285	21060	15618	9271	28323
ENSG00000013306.16	SLC25A39	protein_coding	1	4338	2873	2411	2537	1431	750
ENSG00000013364.19	MVP	protein_coding	2	3110.38	3057.26	2377.98	2986	3388	1979
ENSG00000013374.16	NUB1	protein_coding	2	0	0	0	5	1	0
ENSG00000013375.16	PGM3	protein_coding	1	3213	2555	2235	3269	2708	1480
ENSG00000013392.8	RWDD2A	protein_coding	2	3480	3183	2332	2385	2272	1620
ENSG00000013441.16	CLK1	protein_coding	2	0	0	0	0	0	0
ENSG00000013503.10	POLR3B	protein_coding	2	3733	2998	2424	3964	2856	2077
ENSG00000013523.9	ANGEL1	protein_coding	1	0	1.78	0	0	0	0
ENSG00000013561.18	RNF14	protein_coding	1	0	0	0	0	0	0
ENSG00000013563.14	DNASE1L1	protein_coding	1	0	0	0	35	6	2
ENSG00000013573.17	DDX11	protein_coding	2	1	0	0	4	1	0
ENSG00000013583.10	HEBP1	protein_coding	1	3	1	16	133	141	51
ENSG00000013588.8	GPRC5A	protein_coding	2	140	706	224	881	476	248
